Project Name,Link,Notes,Subtasks
"Upwork","https://www.upwork.com","Check messages, Apply daily","job1-Web3 Smart Contract Audit (Apply with 3 examples)|job2-Figma to React (Hourly job)|job3-Crypto bot integration project"
"Freelancer","https://www.freelancer.com","Browse latest jobs","job1-Landing Page Build|job2-API Integration for Crypto App|job3-Solana Wallet Integration"
"Fiverr","https://www.fiverr.com","Maintain gigs","gig1-Update portfolio with recent work|gig2-Optimize gig SEO"
"Toptal","https://www.toptal.com","High-end clients","Apply to screening process|Upload best 3 case studies"
"PeoplePerHour","https://www.peopleperhour.com","Check invites","job1-Ethereum integration|job2-Tokenomics research"
"Guru","https://www.guru.com","Less competition site","job1-Web scraping tool in Python|job2-Crypto dashboard builder"
"Workana","https://www.workana.com","LATAM-based gigs","job1-Translate DApp docs to Spanish|job2-VueJS refactor"
"CryptoJobsList","https://cryptojobslist.com","Web3 only jobs","job1-Bot deployment help|job2-Airdrop tracking app"
"Remotive","https://remotive.io/remote-jobs/software-dev","Remote dev jobs","job1-Build Zapier integration|job2-AI chatbot with GPT API"
"WeLoveNoCode","https://www.welovenocode.com","No-code specific","job1-Webflow site rebuild|job2-Airtable + Zapier automation"
"AngelList","https://angel.co","Startup jobs","job1-Web3 startup contract role|job2-Freelance react dev"
"LinkedIn","https://www.linkedin.com/jobs","Daily Apply","job1-Send DM to hiring manager|job2-Follow up on last week's pitch"
"Contra","https://contra.com","Commission-free freelance","job1-Market personal brand|job2-Upload NFT-based portfolio"
"SolidGigs","https://solidgigs.com","Curated leads","Check today’s leads|Shortlist 5 opportunities"
"Polywork","https://www.polywork.com","New collab type site","Update profile|Reach out to 2 new leads"
"Himalayas","https://himalayas.app/jobs","Remote startup jobs","Apply 3 jobs/week|job1-React + Solidity role"
